comparison,rowname,lb,mle,ub,ce,Z,cZ
1 vs. 2,OR2H2,0.7588946353246334,1.0036993563970975,1.1995431332550694,0.7588946353246334,7.160812901960654,6.39632142928266
1 vs. 2,RACGAP1,0.734414163217389,0.9792188842898532,1.1750626611478217,0.734414163217389,7.160812791873396,6.39632142928266
1 vs. 2,FMN2,0.8078555795391257,1.0526603006115898,1.224023605362314,0.8078555795391257,7.160812094046682,6.39632142928266
1 vs. 2,ADAMTS1,0.8078555795391257,1.0771407727188373,1.2485040774695617,0.8078555795391257,7.16081191957951,6.39632142928266
1 vs. 2,TAF7L,0.734414163217389,1.0036993563970975,1.1750626611478217,0.734414163217389,7.160811877458371,6.39632142928266
1 vs. 2,AKAP4,0.734414163217389,0.9792188842898532,1.1750626611478217,0.734414163217389,7.160810385202601,6.39632142928266
1 vs. 2,SPATA31D4,0.7099336911101413,0.9547384121826054,1.1505821890405774,0.7099336911101413,7.160805814623607,6.39632142928266
1 vs. 2,PRDM14,0.734414163217389,0.9792188842898532,1.1995431332550694,0.734414163217389,7.160804917345476,6.39632142928266
1 vs. 2,ADAD1,0.734414163217389,0.9792188842898532,1.1995431332550694,0.734414163217389,7.160797369723438,6.39632142928266
1 vs. 2,HEY2,0.7099336911101413,0.9302579400753577,1.1261017169333296,0.7099336911101413,7.160794467025346,6.39632142928266
1 vs. 2,MTOR,0.6854532190028969,0.9302579400753577,1.1505821890405774,0.6854532190028969,7.160793557675356,6.39632142928266
1 vs. 2,TCP1,0.734414163217389,0.9547384121826054,1.1505821890405774,0.734414163217389,7.16078173064805,6.39632142928266
1 vs. 2,APOB,0.6854532190028969,0.9302579400753577,1.1505821890405774,0.6854532190028969,7.160777116992969,6.39632142928266
1 vs. 2,TSSK2,0.7099336911101413,0.9792188842898532,1.1995431332550694,0.7099336911101413,7.160768175754898,6.39632142928266
1 vs. 2,COMT,0.7099336911101413,0.9547384121826054,1.1750626611478217,0.7099336911101413,7.160766904889039,6.39632142928266
1 vs. 2,PAM,0.734414163217389,1.0036993563970975,1.224023605362314,0.734414163217389,7.160719402012837,6.39632142928266
1 vs. 2,RARG,0.6609727468956491,0.9302579400753577,1.1505821890405774,0.6609727468956491,7.160596681466868,6.39632142928266
1 vs. 2,PIM2,0.6854532190028969,0.9547384121826054,1.1750626611478217,0.6854532190028969,7.1605903743286214,6.39632142928266
1 vs. 2,PLA2G4B,0.6609727468956491,0.9302579400753577,1.1505821890405774,0.6609727468956491,7.160589848841955,6.39632142928266
1 vs. 2,FOXO3,0.6364922747884048,0.856816523753621,1.0771407727188373,0.6364922747884048,7.160529134102807,6.39632142928266
1 vs. 2,KIF18A,0.6854532190028969,0.9302579400753577,1.1261017169333296,0.6854532190028969,7.160371131926731,6.39632142928266
1 vs. 2,LCN6,0.6364922747884048,0.8812969958608656,1.1261017169333296,0.6364922747884048,7.160250821962691,6.39632142928266
1 vs. 2,UBE2A,0.6609727468956491,0.9057774679681132,1.101621244826082,0.6609727468956491,7.160202341768015,6.39632142928266
1 vs. 2,SYT8,0.6364922747884048,0.8812969958608656,1.1261017169333296,0.6364922747884048,7.1598476118768515,6.39632142928266
1 vs. 2,ADAM18,0.6364922747884048,0.8812969958608656,1.0771407727188373,0.6364922747884048,7.159120247937618,6.39632142928266
1 vs. 2,LFNG,0.6364922747884048,0.9057774679681132,1.1261017169333296,0.6364922747884048,7.158758900478654,6.39632142928266
1 vs. 2,CCNI,0.612011802681157,0.8323360516463733,1.0526603006115898,0.612011802681157,7.157437451416365,6.39632142928266
1 vs. 2,SYCE1L,0.6364922747884048,0.8812969958608656,1.101621244826082,0.6364922747884048,7.155358190727681,6.39632142928266
1 vs. 2,BOK,0.7833751074318812,1.0526603006115898,1.2485040774695617,0.7833751074318812,7.154413436245352,6.39632142928266
1 vs. 2,IFT81,0.6609727468956491,0.9547384121826054,1.1505821890405774,0.6609727468956491,7.153869042336129,6.39632142928266
1 vs. 2,MAP2K6,0.6364922747884048,0.8812969958608656,1.1261017169333296,0.6364922747884048,7.150470817238019,6.39632142928266
1 vs. 2,IGFBP2,0.6609727468956491,0.9547384121826054,1.224023605362314,0.6609727468956491,7.14929727731153,6.39632142928266
1 vs. 2,RDH10,0.6854532190028969,0.9547384121826054,1.1995431332550694,0.6854532190028969,7.148177552851383,6.39632142928266
1 vs. 2,TUBG1,0.6609727468956491,0.9057774679681132,1.101621244826082,0.6609727468956491,7.1470042000102545,6.39632142928266
1 vs. 2,DRD1,0.6364922747884048,0.9302579400753577,1.1750626611478217,0.6364922747884048,7.146398630785616,6.39632142928266
1 vs. 2,MSX1,0.612011802681157,0.8812969958608656,1.1750626611478217,0.612011802681157,7.141477828348359,6.39632142928266
1 vs. 2,DMRTA2,0.5875313305739092,0.8323360516463733,1.0771407727188373,0.5875313305739092,7.137320897610705,6.39632142928266
1 vs. 2,TBX3,0.612011802681157,0.8812969958608656,1.1261017169333296,0.612011802681157,7.137096008966446,6.39632142928266
1 vs. 2,DNM2,0.5875313305739092,0.8323360516463733,1.0526603006115898,0.5875313305739092,7.115843404086842,6.37668382217598
1 vs. 2,DDX4,0.5875313305739092,0.856816523753621,1.1505821890405774,0.5875313305739092,7.108119578918733,6.3757399921342195
1 vs. 2,IQCF1,0.6364922747884048,0.9302579400753577,1.1261017169333296,0.6364922747884048,7.108093145398362,6.3757399921342195
1 vs. 2,SYCE2,0.612011802681157,0.9057774679681132,1.1261017169333296,0.612011802681157,7.089949949357727,6.359297746968356
1 vs. 2,ASPM,0.5875313305739092,0.856816523753621,1.101621244826082,0.5875313305739092,7.068227305788411,6.338803632337417
1 vs. 2,PICK1,0.6364922747884048,0.9302579400753577,1.1505821890405774,0.6364922747884048,7.064677326560611,6.338406018577276
