comparison,rowname,lb,mle,ub,ce,Z,cZ
1 vs. 2,Fam60a,-4.822893380193357,-3.3131180611763122,-2.80985962150396,-2.80985962150396,-6.972493003924382,-6.038361912492351
1 vs. 2,Peg3,-4.571264160357198,-3.3969944677883657,-2.2227247752195507,-2.2227247752195507,-5.869931524831751,-4.87466402616484
1 vs. 2,Surf4,-4.15188212729691,-2.9356742314220496,-1.8033427421592565,-1.8033427421592565,-4.750408482387087,-3.5840219835535176
1 vs. 2,Srsf1,-4.361573143827037,-2.474353995055727,-1.2581460991808795,-1.2581460991808795,-3.984220977952824,-2.633028222901165
1 vs. 2,Ube2n,-3.061488841340136,-1.5097753190170553,-0.8807022694266139,-0.8807022694266139,-3.7920378287950616,-2.4337911216283308
1 vs. 2,P4hb,-2.9356742314220496,-2.432415791749698,-0.9226404727326459,-0.9226404727326459,-3.5583087625278256,-2.155737094421364
1 vs. 2,Rpl7l1,-3.145365247952197,-2.2227247752195507,-1.1742696925688185,-1.1742696925688185,-3.4719433651266103,-2.0867855528876524
1 vs. 2,Echs1,-2.9356742314220496,-1.7614045388532311,-0.7968258628145565,-0.7968258628145565,-3.4181591284941444,-2.0599439785923908
1 vs. 2,Gmfb,-3.5228090777064622,-2.2227247752195507,-0.9645786760386748,-0.9645786760386748,-3.385964811434745,-2.059935472190064
1 vs. 2,AA986860,0.7548876595085243,2.6840450115858707,3.8583147041546857,0.7548876595085243,3.0917082465548162,1.6472621732898
1 vs. 2,Cct3,-2.893736028116021,-1.6775281322411701,-0.6710112528964701,-0.6710112528964701,-3.024953352247345,-1.5847088956043582
1 vs. 2,Chchd1,-2.432415791749698,-1.4678371157110233,-0.5032584396723517,-0.5032584396723517,-2.888362111178491,-1.4005264116118679
1 vs. 2,Pin1,-2.5582304016677875,-1.3000843024869082,-0.46132023636632297,-0.46132023636632297,-2.847508090259809,-1.3738992009788749
1 vs. 2,Mtf2,-2.7679214181979312,-1.8033427421592565,-0.5871348462844093,-0.5871348462844093,-2.8175895017567503,-1.3632434081588456
1 vs. 2,Cuedc2,-2.684045011585874,-1.342022505792937,-0.4193820330602942,-0.4193820330602942,-2.670376409045676,-1.1571192175638554
1 vs. 2,Lrrc41,-2.6421068082798453,-1.6775281322411701,-0.5451966429783839,-0.5451966429783839,-2.65583816522423,-1.1571192175638554
1 vs. 2,Krt19,0.3355056264482334,1.509775319017052,2.809859621503957,0.3355056264482334,2.604865000304246,1.102314654923869
1 vs. 2,Zfp62,-2.474353995055727,-1.4258989124049946,-0.37744382975426216,-0.37744382975426216,-2.570442103002454,-1.0821338468830746
