ID,Type,State,Pt_PDX,Mapped_reads,GSM,SRX,SRR
PDX_pRCC_SC_29,PDX_primary,pRCC,PDX,4619639,GSM1887263,SRX1253716,SRR2431391
PDX_mRCC_SC_1,PDX_meta,mRCC,PDX,3936241,GSM1887216,SRX1253669,SRR2431344
Pt_mRCC_SC_90,Pt_meta,mRCC,Pt,6678745,GSM1887350,SRX1253786,SRR2431461
PDX_pRCC_SC_28,PDX_primary,pRCC,PDX,3296883,GSM1887262,SRX1253715,SRR2431390
PDX_pRCC_SC_94,PDX_primary,pRCC,PDX,3527338,GSM1887301,SRX1253752,SRR2431427
PDX_mRCC_SC_79,PDX_meta,mRCC,PDX,3204563,GSM1887240,SRX1253693,SRR2431368
PDX_mRCC_SC_4,PDX_meta,mRCC,PDX,3786746,GSM1887218,SRX1253671,SRR2431346
PDX_mRCC_SC_87,PDX_meta,mRCC,PDX,4654982,GSM1887244,SRX1253697,SRR2431372
Pt_mRCC_SC_1,Pt_meta,mRCC,Pt,4441898,GSM1887306,SRX1253754,SRR2431429
PDX_pRCC_SC_27,PDX_primary,pRCC,PDX,4521451,GSM1887261,SRX1253714,SRR2431389
PDX_pRCC_SC_34,PDX_primary,pRCC,PDX,3742836,GSM1887264,SRX1253717,SRR2431392
PDX_mRCC_SC_34,PDX_meta,mRCC,PDX,3534835,GSM1887227,SRX1253680,SRR2431355
PDX_mRCC_SC_89,PDX_meta,mRCC,PDX,3290898,GSM1887246,SRX1253699,SRR2431374
Pt_mRCC_SC_23,Pt_meta,mRCC,Pt,3886813,GSM1887323,SRX1253762,SRR2431437
PDX_pRCC_SC_50,PDX_primary,pRCC,PDX,3050834,GSM1887270,SRX1253723,SRR2431398
PDX_pRCC_SC_37,PDX_primary,pRCC,PDX,3869846,GSM1887267,SRX1253720,SRR2431395
Pt_mRCC_SC_93,Pt_meta,mRCC,Pt,3797315,GSM1887352,SRX1253788,SRR2431463
PDX_pRCC_SC_36,PDX_primary,pRCC,PDX,4208269,GSM1887266,SRX1253719,SRR2431394
PDX_pRCC_SC_84,PDX_primary,pRCC,PDX,3171465,GSM1887292,SRX1253745,SRR2431420
PDX_mRCC_SC_69,PDX_meta,mRCC,PDX,5010061,GSM1887237,SRX1253690,SRR2431365
PDX_pRCC_SC_57,PDX_primary,pRCC,PDX,3183772,GSM1887276,SRX1253729,SRR2431404
PDX_pRCC_SC_6,PDX_primary,pRCC,PDX,3978527,GSM1887255,SRX1253708,SRR2431383
PDX_mRCC_SC_20,PDX_meta,mRCC,PDX,5061971,GSM1887225,SRX1253678,SRR2431353
PDX_pRCC_SC_78,PDX_primary,pRCC,PDX,4460269,GSM1887290,SRX1253743,SRR2431418
Pt_mRCC_SC_39,Pt_meta,mRCC,Pt,1529124,GSM1887331,SRX1253767,SRR2431442
PDX_pRCC_SC_66,PDX_primary,pRCC,PDX,7603,GSM1887283,SRX1253736,SRR2431411
PDX_pRCC_SC_65,PDX_primary,pRCC,PDX,3193036,GSM1887282,SRX1253735,SRR2431410
PDX_pRCC_SC_53,PDX_primary,pRCC,PDX,4141346,GSM1887273,SRX1253726,SRR2431401
PDX_mRCC_SC_61,PDX_meta,mRCC,PDX,7697391,GSM1887233,SRX1253686,SRR2431361
Pt_mRCC_SC_84,Pt_meta,mRCC,Pt,9170196,GSM1887345,SRX1253781,SRR2431456
