Gene,PDX_pRCC_SC_29,PDX_pRCC_SC_28,PDX_pRCC_SC_94,PDX_pRCC_SC_27,PDX_pRCC_SC_34,PDX_pRCC_SC_50,PDX_pRCC_SC_37,PDX_pRCC_SC_36,PDX_pRCC_SC_84,PDX_pRCC_SC_57,PDX_pRCC_SC_6,PDX_pRCC_SC_78,PDX_pRCC_SC_66,PDX_pRCC_SC_65,PDX_pRCC_SC_53,PDX_pRCC_SC_73,PDX_pRCC_SC_13,PDX_pRCC_SC_35,PDX_pRCC_SC_52,PDX_pRCC_SC_89,PDX_pRCC_SC_10,PDX_pRCC_SC_16,PDX_pRCC_SC_3,PDX_pRCC_SC_59,PDX_pRCC_SC_88,PDX_pRCC_SC_51,PDX_pRCC_SC_49,PDX_pRCC_SC_61,PDX_pRCC_SC_62,PDX_pRCC_SC_90,PDX_pRCC_SC_24,PDX_pRCC_SC_91,PDX_pRCC_SC_70,PDX_pRCC_SC_55,PDX_pRCC_SC_14,PDX_pRCC_SC_75,PDX_pRCC_SC_58,PDX_pRCC_SC_60,PDX_pRCC_SC_5,PDX_pRCC_SC_56,PDX_pRCC_SC_67,PDX_pRCC_SC_46,PDX_pRCC_SC_72,PDX_pRCC_SC_93,PDX_pRCC_SC_79,PDX_pRCC_SC_87,PDX_pRCC_SC_68
A1BG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1CF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,1
A2M,0,0,57,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2ML1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2MP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A3GALT2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A4GALT,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
A4GNT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAAS,0,0,17,55,78,3,0,1,2,17,0,182,0,9,26,0,0,1,3,0,0,0,0,0,0,0,0,2,6,0,20,1,25,0,27,24,0,0,2,1,1,0,0,0,19,0,0
AACS,22,0,12,0,118,68,0,64,2,0,0,0,0,0,162,106,7,0,16,16,15,111,0,34,419,15,0,67,0,31,0,11,0,3,4,0,40,1,0,0,41,7,75,0,0,0,0
AACSP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACL2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACL3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADAT,36,0,0,4,0,0,59,0,6,0,18,0,0,0,0,0,0,0,28,1,0,0,0,0,0,3,0,0,0,1,0,91,0,8,0,0,0,1,0,52,0,0,2,20,0,4,0
AAED1,74,9,15,13,193,37,3,0,0,0,12,0,0,15,2,0,0,8,0,3,4,3,30,0,151,11,27,0,22,5,257,0,11,0,21,1,0,7,10,10,0,0,10,0,0,53,0
AAGAB,250,75,11,54,77,61,30,29,49,141,355,33,0,39,187,530,68,666,64,8,11,14,118,376,76,31,46,92,306,406,545,161,89,14,109,40,0,20,43,128,79,41,23,53,3,97,14
AAK1,353,167,98,409,2069,590,753,126,38,23,76,80,0,26,197,737,118,602,9,42,150,5,172,162,933,79,307,161,1117,60,32,358,45,323,180,115,44,182,174,152,83,16,176,222,50,40,83
AAMDC,12,12,5,22,21,0,12,15,6,8,0,12,0,22,2,10,4,13,7,12,12,20,2,0,0,3,5,7,16,7,4,20,11,5,0,6,0,4,17,10,7,0,6,1,23,9,0
AAMP,0,6,9,0,3,25,0,0,0,1,0,0,0,0,9,1,0,1,0,2,9,0,2,12,0,1,0,0,30,1,0,2,0,0,1,0,0,0,1,1,4,0,0,0,0,21,1
AANAT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
AAR2,1,0,5,32,43,7,4,0,3,142,78,61,0,42,0,1,5,0,3,49,121,80,45,0,6,4,52,8,8,3,0,2,3,15,52,21,119,9,11,31,9,57,91,248,0,30,0
AARS,36,23,164,190,70,25,77,59,42,74,0,83,0,55,139,36,0,0,9,12,29,22,76,84,25,3,22,45,8,16,10,24,94,77,12,164,81,319,188,64,84,6,156,36,2,45,0
