Gene,Pt_mRCC_SC_90,Pt_mRCC_SC_1,Pt_mRCC_SC_23,Pt_mRCC_SC_93,Pt_mRCC_SC_39,Pt_mRCC_SC_84,Pt_mRCC_SC_75,Pt_mRCC_SC_79,Pt_mRCC_SC_12,Pt_mRCC_SC_24,Pt_mRCC_SC_36,Pt_mRCC_SC_85,Pt_mRCC_SC_33,Pt_mRCC_SC_81,Pt_mRCC_SC_87,Pt_mRCC_SC_59,Pt_mRCC_SC_56,Pt_mRCC_SC_64,Pt_mRCC_SC_17,Pt_mRCC_SC_43,Pt_mRCC_SC_92,Pt_mRCC_SC_30,Pt_mRCC_SC_57,Pt_mRCC_SC_53,Pt_mRCC_SC_61,Pt_mRCC_SC_11,Pt_mRCC_SC_21,Pt_mRCC_SC_71,Pt_mRCC_SC_5,Pt_mRCC_SC_3,Pt_mRCC_SC_86,Pt_mRCC_SC_69,Pt_mRCC_SC_58,Pt_mRCC_SC_88,Pt_mRCC_SC_10
A1BG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1CF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2M,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2ML1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2MP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A3GALT2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A4GALT,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0
A4GNT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAAS,0,0,1,4,0,1,1,2,0,7,0,1,0,14,1,2,0,0,0,13,27,6,0,0,3,0,8,0,0,0,1,0,0,54,37
AACS,0,2,38,6,2,155,126,3,1,123,0,3,1,0,0,0,0,6,0,0,0,0,0,1,14,0,4,0,0,0,5,0,0,0,0
AACSP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACL2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACL3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADAT,5,15,0,0,3,170,0,0,35,5,2,0,0,3,5,3,37,5,0,0,0,0,0,0,30,0,0,0,0,2,0,0,0,13,13
AAED1,1,18,28,1,2,9,9,4,16,4,16,61,96,11,12,0,80,11,33,1,6,0,0,0,29,12,1,0,0,40,99,0,220,0,1
AAGAB,50,23,19,131,22,21,409,5,348,32,14,8,4,14,28,8,220,338,1,215,91,80,92,1099,9,44,38,35,0,10,97,116,164,37,15
AAK1,454,214,130,223,253,357,202,63,414,104,215,1241,534,87,579,37,253,147,174,457,33,37,342,1400,113,1217,126,410,2,3386,115,51,1026,454,41
AAMDC,2,12,4,57,0,3,2,0,0,12,6,3,1,4,2,0,9,129,33,26,3,5,19,0,3,1,19,0,0,0,0,0,14,18,4
AAMP,22,4,0,4,6,17,0,107,0,2,40,0,0,8,35,0,1,9,4,8,5,13,0,14,1,0,1,0,0,1,25,13,0,0,7
AANAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,11,0,0,0,0,0,0,0,0,0,0
AAR2,65,11,113,35,24,86,96,1,164,32,56,4,56,12,11,17,0,50,0,8,141,0,18,158,73,22,1,3,3,57,121,654,15,0,1
AARS,264,186,480,177,74,369,75,9,334,122,61,163,2568,99,177,120,43,57,772,104,167,944,161,283,198,58,649,5,2,332,58,423,426,145,144
AARS2,19,0,0,25,28,2,0,266,5,5,42,0,0,18,0,0,0,33,183,0,0,14,0,0,0,2,21,0,0,0,3,0,0,20,0
AARSD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AASDH,0,0,11,0,3,2,0,0,4,1,20,57,63,33,0,47,4,3,27,23,6,0,20,0,1,0,0,0,0,0,45,0,0,0,23
AASDHPPT,60,31,336,47,123,341,79,35,119,450,24,113,237,42,16,100,47,55,145,452,26,303,61,123,33,414,32,186,0,9,113,2,521,13,36
AASS,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AATF,3,8,150,35,9,21,15,3,32,6,30,100,82,10,22,1,12,43,79,25,19,63,242,41,69,56,3,3,0,5,6,4,46,18,25
AATK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABALON,0,0,0,0,0,0,0,15,0,0,0,0,5,0,0,5,0,0,0,0,0,14,0,26,3,7,0,0,0,0,0,0,0,1,10
ABAT,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,42,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0
ABCA1,192,767,12,262,356,5257,569,102,717,748,167,236,2110,191,56,131,673,539,314,2147,161,5768,973,2648,11,352,511,990,4,7120,20,2336,326,463,456
ABCA10,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCA11P,0,1,0,0,0,392,0,0,0,96,19,0,0,0,0,1,1,5,1,6,0,0,0,0,0,12,0,0,1,0,0,0,0,3,141
ABCA12,1,0,2,18,0,2,8,0,0,74,2,0,0,1,0,3,14,6,0,0,0,57,7,0,5,16,6,0,0,0,17,0,0,50,10
ABCA13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCA17P,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCA2,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCA3,80,1,3,0,0,275,5,291,1,26,26,102,303,7,42,6,1,0,204,0,4,0,0,0,14,32,0,0,0,183,16,8,68,11,29
ABCA4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCA5,32,32,56,0,0,8,2,0,155,49,4,4,0,8,1,0,4,77,42,4,1,850,0,308,17,3,82,0,0,0,114,0,2,21,14
ABCA6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCA7,0,1,28,0,8,0,0,0,0,14,2,0,0,0,0,0,0,0,0,29,3,7,3,0,1,0,1,0,0,13,0,0,17,52,10
