ID,Type,State,Pt_PDX,Reads,GSM,SRX,SRR
PDX_pRCC_SC_29,PDX_primary,pRCC,PDX,4619639,GSM1887263,SRX1253716,SRR2431391
PDX_pRCC_SC_28,PDX_primary,pRCC,PDX,3296883,GSM1887262,SRX1253715,SRR2431390
PDX_pRCC_SC_94,PDX_primary,pRCC,PDX,3527338,GSM1887301,SRX1253752,SRR2431427
PDX_pRCC_SC_27,PDX_primary,pRCC,PDX,4521451,GSM1887261,SRX1253714,SRR2431389
PDX_pRCC_SC_34,PDX_primary,pRCC,PDX,3742836,GSM1887264,SRX1253717,SRR2431392
PDX_pRCC_SC_50,PDX_primary,pRCC,PDX,3050834,GSM1887270,SRX1253723,SRR2431398
PDX_pRCC_SC_37,PDX_primary,pRCC,PDX,3869846,GSM1887267,SRX1253720,SRR2431395
PDX_pRCC_SC_36,PDX_primary,pRCC,PDX,4208269,GSM1887266,SRX1253719,SRR2431394
PDX_pRCC_SC_84,PDX_primary,pRCC,PDX,3171465,GSM1887292,SRX1253745,SRR2431420
PDX_pRCC_SC_57,PDX_primary,pRCC,PDX,3183772,GSM1887276,SRX1253729,SRR2431404
PDX_pRCC_SC_6,PDX_primary,pRCC,PDX,3978527,GSM1887255,SRX1253708,SRR2431383
PDX_pRCC_SC_78,PDX_primary,pRCC,PDX,4460269,GSM1887290,SRX1253743,SRR2431418
PDX_pRCC_SC_66,PDX_primary,pRCC,PDX,7603,GSM1887283,SRX1253736,SRR2431411
PDX_pRCC_SC_65,PDX_primary,pRCC,PDX,3193036,GSM1887282,SRX1253735,SRR2431410
PDX_pRCC_SC_53,PDX_primary,pRCC,PDX,4141346,GSM1887273,SRX1253726,SRR2431401
PDX_pRCC_SC_73,PDX_primary,pRCC,PDX,3773900,GSM1887288,SRX1253741,SRR2431416
PDX_pRCC_SC_13,PDX_primary,pRCC,PDX,3850968,GSM1887257,SRX1253710,SRR2431385
PDX_pRCC_SC_35,PDX_primary,pRCC,PDX,3752017,GSM1887265,SRX1253718,SRR2431393
PDX_pRCC_SC_52,PDX_primary,pRCC,PDX,2679199,GSM1887272,SRX1253725,SRR2431400
PDX_pRCC_SC_89,PDX_primary,pRCC,PDX,3100541,GSM1887295,SRX1253748,SRR2431423
PDX_pRCC_SC_10,PDX_primary,pRCC,PDX,2617901,GSM1887256,SRX1253709,SRR2431384
PDX_pRCC_SC_16,PDX_primary,pRCC,PDX,4972026,GSM1887259,SRX1253712,SRR2431387
PDX_pRCC_SC_3,PDX_primary,pRCC,PDX,3325870,GSM1887253,SRX1253706,SRR2431381
PDX_pRCC_SC_59,PDX_primary,pRCC,PDX,4374582,GSM1887278,SRX1253731,SRR2431406
PDX_pRCC_SC_88,PDX_primary,pRCC,PDX,4013650,GSM1887294,SRX1253747,SRR2431422
PDX_pRCC_SC_51,PDX_primary,pRCC,PDX,2610400,GSM1887271,SRX1253724,SRR2431399
PDX_pRCC_SC_49,PDX_primary,pRCC,PDX,3918778,GSM1887269,SRX1253722,SRR2431397
PDX_pRCC_SC_61,PDX_primary,pRCC,PDX,3268090,GSM1887280,SRX1253733,SRR2431408
PDX_pRCC_SC_62,PDX_primary,pRCC,PDX,4649506,GSM1887281,SRX1253734,SRR2431409
PDX_pRCC_SC_90,PDX_primary,pRCC,PDX,3563750,GSM1887296,SRX1253749,SRR2431424
PDX_pRCC_SC_24,PDX_primary,pRCC,PDX,3880705,GSM1887260,SRX1253713,SRR2431388
PDX_pRCC_SC_91,PDX_primary,pRCC,PDX,3376461,GSM1887297,SRX1253750,SRR2431425
PDX_pRCC_SC_70,PDX_primary,pRCC,PDX,3853193,GSM1887286,SRX1253739,SRR2431414
PDX_pRCC_SC_55,PDX_primary,pRCC,PDX,4743158,GSM1887274,SRX1253727,SRR2431402
PDX_pRCC_SC_14,PDX_primary,pRCC,PDX,4364531,GSM1887258,SRX1253711,SRR2431386
PDX_pRCC_SC_75,PDX_primary,pRCC,PDX,4470602,GSM1887289,SRX1253742,SRR2431417
PDX_pRCC_SC_58,PDX_primary,pRCC,PDX,3893213,GSM1887277,SRX1253730,SRR2431405
PDX_pRCC_SC_60,PDX_primary,pRCC,PDX,3507256,GSM1887279,SRX1253732,SRR2431407
PDX_pRCC_SC_5,PDX_primary,pRCC,PDX,3971678,GSM1887254,SRX1253707,SRR2431382
PDX_pRCC_SC_56,PDX_primary,pRCC,PDX,3362018,GSM1887275,SRX1253728,SRR2431403
PDX_pRCC_SC_67,PDX_primary,pRCC,PDX,3542954,GSM1887284,SRX1253737,SRR2431412
PDX_pRCC_SC_46,PDX_primary,pRCC,PDX,2504966,GSM1887268,SRX1253721,SRR2431396
PDX_pRCC_SC_72,PDX_primary,pRCC,PDX,4033895,GSM1887287,SRX1253740,SRR2431415
PDX_pRCC_SC_93,PDX_primary,pRCC,PDX,4347118,GSM1887299,SRX1253751,SRR2431426
PDX_pRCC_SC_79,PDX_primary,pRCC,PDX,3231120,GSM1887291,SRX1253744,SRR2431419
PDX_pRCC_SC_87,PDX_primary,pRCC,PDX,3478811,GSM1887293,SRX1253746,SRR2431421
PDX_pRCC_SC_68,PDX_primary,pRCC,PDX,2541583,GSM1887285,SRX1253738,SRR2431413
