gene,score
CCT5,397.264951772544
DPYSL2,396.641343047686
SEC22B,388.223480218345
CALU,368.464852717135
SARAF,351.041145742848
PPP1CB,305.474206145149
ECHS1,298.574643740344
HLA-A,298.522454541055
CTSB,297.47542132813
TMEM9,286.235697061471
MRPL39,282.909652016055
PSMD13,279.279428393204
MRPL32,271.606488973382
C11orf58,268.119767326774
SLC25A5,266.633940119818
POLR2L,264.784233448677
NRCAM,251.766616856388
ABCF2,250.650917893095
SYT11,246.127404811993
NDUFC2,245.861985386876
SPARCL1,241.477583594778
DAD1,239.500580685434
ZC3HC1,231.213919271832
SEC31A,230.780878472727
ACTG1,221.34065403256
NOP56,216.392676680718
SF3A3,212.563305086073
PSMA7,211.968434542842
NDUFA6,211.943606200564
CHCHD2,209.660716878235
AIF1L,205.246728857944
PSMB3,200.14453880711
HEXA,189.507867135099
GLUL,185.635724391051
PDLIM5,182.838283736796
EIF4G2,181.036311105351
SPARC,178.041941460419
PRDX3,177.311596604677
PJA2,177.213528773815
ITGB8,175.120027029357
DDOST,174.276118250566
PDHB,172.980430022567
AARS,170.572138494579
MYH10,170.390859325592
B2M,168.421127247416
OXA1L,166.724304672271
NDUFS4,163.586074839415
DLD,162.872803334937
SERINC1,162.368523213477
BCAT1,161.90193606319
ERAL1,160.849877736349
CD164,159.080567428428
TGOLN2,158.876985669453
CNBP,158.250493187693
RBBP4,158.098477947597
CANX,156.61047658592
POLR2E,155.463491292184
MAP1B,153.831653653249
CNDP2,151.845438250462
MRPS7,151.338865213306
PDGFRA,150.021045254767
ZNF24,149.81408377641
BLCAP,149.19613306566
THRAP3,148.616508259379
CFL1,147.888634795903
USP10,147.797239735369
LAMTOR4,147.117799538906
PLIN3,144.768941765184
NDUFA10,142.987141602447
RTFDC1,142.699578841695
CCND2,142.235295248854
UBC,140.473010418309
SNHG5,139.979063567977
HSPD1,139.244424339782
TMEM14C,137.694472600815
GPX4,135.676062430684
JKAMP,135.526175634392
FOS,134.732907331235
VPS35,134.414420551947
CD82,134.054737725398
PSMF1,133.874632102633
NASP,133.672079120428
PRMT2,133.626077523956
CERS5,133.348599720555
PRDX5,133.067903096684
SDR39U1,133.054053149211
NACA,131.198830288245
EGFR,130.494608108684
CHID1,129.49168000903
MRFAP1L1,127.215602084871
PIH1D1,127.21173291038
ATP5G3,126.726492504872
