Gene,cell_1,cell_2,cell_3,cell_4,cell_5,cell_6,cell_7,cell_8,cell_9,cell_10,cell_11,cell_12,cell_13,cell_14,cell_15,cell_16,cell_17,cell_18,cell_19,cell_20,cell_21,cell_22,cell_23,cell_24,cell_25,cell_26,cell_27,cell_28,cell_29,cell_30,cell_31,cell_32,cell_33,cell_34,cell_35,cell_36,cell_37,cell_38,cell_39,cell_40,cell_41,cell_42,cell_43,cell_44,cell_45,cell_46,cell_47,cell_48,cell_49,cell_50,cell_51,cell_52,cell_53,cell_54,cell_55,cell_56,cell_57,cell_58,cell_59,cell_60,cell_61,cell_62,cell_63,cell_64,cell_65,cell_66,cell_67,cell_68,cell_69,cell_70,cell_71,cell_72,cell_73,cell_74,cell_75,cell_76,cell_77,cell_78,cell_79,cell_80,cell_81,cell_82,cell_83,cell_84,cell_85,cell_86,cell_87,cell_88,cell_89,cell_90,cell_91,cell_92,cell_93,cell_94,cell_95,cell_96
PARP1,12,17,1,2,6,16,16,2,9,10,5,14,1,8,4,15,9,8,10,21,4,2,9,11,2,16,14,23,5,12,9,15,6,5,3,21,0,6,14,4,12,14,18,7,6,12,4,10,21,4,4,9,1,19,12,10,22,26,13,21,9,4,3,16,7,15,3,2,3,3,8,23,1,4,5,9,12,30,19,9,16,22,12,17,10,21,7,2,12,6,3,8,20,4,24,3
SLC25A4,16,9,2,4,6,12,23,9,3,21,6,17,5,4,7,18,4,24,16,13,5,0,26,21,3,14,8,10,7,21,6,8,3,8,4,15,5,2,16,9,17,20,23,2,7,10,7,21,22,5,9,19,4,14,3,11,12,30,14,19,12,5,4,9,8,12,8,1,3,4,14,10,4,9,8,5,15,12,16,2,12,10,15,22,9,16,5,6,8,6,1,4,10,7,21,6
DNA2,12,26,5,4,7,10,10,5,6,16,2,22,5,6,8,23,10,21,12,14,4,7,30,22,7,16,24,11,3,15,7,14,5,2,4,12,3,4,9,12,9,10,10,5,4,21,4,19,10,0,0,16,2,17,9,21,15,12,20,14,15,7,3,12,6,17,5,6,4,6,8,9,3,1,8,6,18,16,14,5,21,21,8,12,19,23,5,5,4,3,10,3,16,7,13,3
LIG3,10,30,3,3,9,21,9,8,6,23,4,12,6,4,5,10,8,13,21,20,6,8,12,10,2,9,21,21,3,12,5,8,4,2,5,17,10,5,12,5,26,16,11,11,5,16,6,14,21,5,4,14,9,22,6,22,8,16,10,17,18,5,3,15,4,9,3,4,3,5,24,19,5,3,5,7,23,12,16,5,15,19,14,15,16,10,2,8,9,3,6,6,12,6,14,9
MEF2A,21,12,2,7,6,16,19,11,3,10,4,15,7,7,2,11,4,14,15,10,3,7,16,21,4,12,13,22,7,17,8,24,8,9,4,9,3,2,15,3,30,12,21,8,1,23,7,17,19,10,3,16,8,12,3,10,14,12,16,22,23,5,8,18,2,26,10,11,9,6,21,16,9,6,2,5,10,10,9,5,12,14,8,8,14,9,6,4,9,4,3,7,21,3,20,3
MPV17,16,16,9,8,3,23,16,3,4,9,2,8,2,4,1,21,2,20,12,16,5,6,12,19,7,15,14,10,9,9,5,21,8,9,6,26,4,3,18,8,12,21,22,3,4,10,0,22,14,6,5,9,11,15,2,21,8,10,12,12,10,7,2,23,2,30,3,4,5,4,13,14,3,4,6,3,11,21,12,7,17,17,24,14,16,19,7,6,6,6,2,7,15,2,10,3
OPA1,23,12,2,8,6,10,14,6,4,19,4,14,3,6,9,22,6,10,17,12,2,3,10,14,2,18,20,21,1,26,2,13,7,3,3,30,5,6,23,8,16,15,10,4,3,9,9,12,17,2,6,12,6,8,9,19,24,21,21,15,11,4,2,10,5,12,0,1,7,4,14,16,5,10,10,4,21,16,15,7,9,22,21,8,9,16,5,6,2,2,2,4,12,7,16,7
POLG,10,10,4,10,8,9,16,1,1,16,9,8,3,10,10,10,9,16,9,21,4,7,21,17,8,23,10,19,5,30,2,14,5,2,3,12,3,4,10,12,12,12,21,5,6,19,6,15,22,6,3,15,2,14,3,14,21,16,15,8,21,3,5,11,2,16,3,5,7,7,20,9,4,5,4,6,22,23,18,4,26,12,13,24,12,14,3,3,11,4,8,5,17,3,12,6
DNAJA3,9,21,3,6,10,19,9,3,4,14,4,24,12,9,1,21,7,12,26,15,6,4,16,22,7,10,16,14,7,12,8,20,5,0,6,16,5,9,11,5,10,17,19,5,8,16,3,8,12,3,9,18,3,8,3,17,13,23,12,14,22,7,4,21,2,12,8,5,3,8,10,12,5,4,10,1,10,10,23,5,30,15,14,21,15,16,5,2,3,7,2,4,9,7,21,6
LONP1,19,16,11,7,3,16,12,3,6,16,6,21,7,9,7,19,2,21,30,12,6,4,23,12,6,11,12,17,5,16,5,10,5,4,5,12,5,4,21,1,21,9,14,2,8,14,13,14,15,3,5,23,3,24,4,22,14,10,17,8,10,8,5,22,5,10,10,1,4,6,16,15,8,3,6,1,21,9,10,7,12,8,20,13,18,9,5,5,3,8,1,5,26,4,15,8
AKT3,14,10,5,8,5,16,18,4,4,12,5,14,7,5,3,17,5,12,16,9,3,6,9,8,1,22,15,12,7,10,5,12,8,9,13,21,8,8,10,4,23,30,22,3,9,9,4,24,14,5,8,11,5,13,6,15,10,19,26,21,19,4,3,21,6,16,3,11,2,5,21,23,5,3,1,5,14,16,21,4,12,8,16,20,10,15,2,4,4,2,5,2,12,10,17,8
PPARGC1A,16,9,9,10,3,9,23,5,4,15,7,20,2,7,4,22,2,17,12,26,5,8,19,14,3,10,12,15,4,21,1,21,7,3,6,16,11,5,21,4,10,12,12,5,5,12,1,21,8,6,8,21,5,14,11,8,16,16,30,13,14,4,7,19,7,23,7,5,7,0,15,10,3,4,2,4,17,14,22,4,10,24,12,10,11,18,8,4,4,8,5,5,16,6,9,8
POLG2,9,19,4,1,3,12,10,5,3,18,6,10,7,10,2,12,2,9,10,30,5,4,16,8,3,21,17,8,7,16,3,15,7,9,10,23,5,3,19,5,9,16,15,2,7,15,10,13,24,3,5,22,5,20,2,14,12,14,12,14,17,8,13,14,3,10,11,7,10,10,12,11,3,1,3,5,22,16,10,9,21,21,21,16,21,23,4,2,3,5,3,6,12,3,26,4
STOML2,12,16,8,2,8,15,11,4,3,23,8,16,5,3,4,15,7,26,21,12,4,5,14,24,3,19,9,14,4,23,8,12,10,1,4,10,4,2,14,5,19,12,8,6,6,18,5,14,21,6,6,10,5,10,2,8,21,16,16,20,22,6,7,17,6,9,2,8,4,3,17,21,1,1,5,8,12,9,21,6,16,13,15,12,22,10,4,7,4,3,10,10,10,2,30,5
RRM2B,15,14,4,3,8,18,21,5,7,10,6,12,4,3,5,8,8,30,16,16,7,4,16,21,2,14,26,8,3,10,9,17,2,4,3,9,5,10,17,6,16,10,14,2,3,23,8,20,13,4,4,21,10,16,5,24,15,9,12,10,12,2,4,22,2,19,5,5,9,4,9,22,8,3,4,5,15,12,19,3,23,14,12,21,10,11,10,8,3,2,1,9,21,4,12,3
MRPL39,18,16,4,3,3,23,22,11,4,11,9,21,4,12,3,14,2,12,23,12,10,4,9,13,4,17,30,24,9,9,6,9,4,5,6,19,1,1,22,10,14,21,8,7,2,10,8,10,14,7,9,19,5,12,3,21,12,12,10,16,15,5,3,12,3,16,4,6,2,2,26,10,10,7,10,4,8,15,14,8,10,20,17,15,21,21,4,3,6,10,1,10,16,8,16,4
PID1,23,9,4,2,4,10,10,6,4,21,4,15,6,4,13,8,7,16,10,10,8,5,12,14,6,22,12,21,5,19,5,26,6,2,2,16,8,8,12,7,16,16,24,5,7,11,9,16,20,10,7,14,4,21,5,13,17,15,21,12,8,4,6,15,3,14,3,9,2,2,30,21,5,3,3,8,14,18,17,4,9,10,9,12,19,22,4,4,1,9,5,2,23,3,12,10
SLC25A36,10,12,9,2,6,11,21,0,10,22,7,12,2,2,1,24,2,12,9,21,2,8,15,20,6,12,16,13,6,16,2,30,7,4,4,14,5,5,15,9,9,23,21,8,1,21,6,12,10,2,5,17,5,15,4,14,9,18,16,21,14,7,12,8,8,16,8,4,4,6,12,19,2,10,1,0,8,23,22,3,19,16,26,17,14,10,6,3,8,6,0,7,10,5,10,4
C10orf2,11,15,8,4,6,21,19,7,4,10,6,17,3,6,4,21,5,10,19,16,1,5,18,10,2,15,12,14,5,14,5,12,5,2,3,16,4,4,8,5,12,10,13,8,2,22,6,21,16,6,3,22,4,12,10,20,26,23,23,15,8,6,5,14,9,9,7,4,6,7,16,14,2,6,2,3,24,10,12,1,16,12,30,9,17,21,4,5,4,5,4,5,9,4,21,3
