Gene,GSM1271945,GSM1271946,GSM1271947,GSM1271948,GSM1271949,GSM1271950,GSM1271951,GSM1271952,GSM1271953,GSM1271954,GSM1271955,GSM1271956,GSM1271957,GSM1271958,GSM1271959,GSM1271960,GSM1271961,GSM1271962,GSM1271963,GSM1271964,GSM1271965,GSM1271966,GSM1271967,GSM1271968,GSM1271969,GSM1271970,GSM1271971,GSM1271972,GSM1271973,GSM1271974,GSM1271975,GSM1271976,GSM1271977,GSM1271978,GSM1271979,GSM1271980,GSM1271981,GSM1271982,GSM1271983,GSM1271984,GSM1271985,GSM1271986,GSM1271987,GSM1271988,GSM1271989,GSM1272036,GSM1272037,GSM1272038,GSM1272039,GSM1272040,GSM1272041,GSM1272042,GSM1272043,GSM1272044,GSM1272045,GSM1272046,GSM1272047,GSM1272048,GSM1272049,GSM1272050,GSM1272051,GSM1272052,GSM1272053,GSM1272054,GSM1272055,GSM1272056,GSM1272057,GSM1272058,GSM1272059,GSM1272060,GSM1272061,GSM1272062
0610007C21Rik,1.8778458829704936,2.105544637841922,5.870486884142679,5.274215104058228,6.447666772539263,0,6.368901071785625,6.638246673017638,0,0,7.591275226291428,0,5.300756600643635,4.855495605109716,2.932510929446192,1.8192054489546263,5.1207589333061865,4.229640536688972,3.234301924965711,0,1.1185379632112369,6.242504491429094,1.9997168243616763,6.1503210154025485,4.229640536688972,3.23544341293413,3.1756462669992005,2.8599298921116416,2.147729245147773,2.6453091756503597,7.9207376789817605,5.251339261786956,1.9933063185409499,2.964940442943828,4.972931654905939,6.311397746007374,4.525193905678996,3.7130302830250717,3.827250672282495,4.440245429830612,3.4975303451804898,2.810681579349692,0,0,4.48162290172536,5.616698825735568,0,0,5.058461092723695,0,0,8.010822046807483,0,0,7.6400510223718605,4.972931654905939,7.88255178557489,0,7.503249155045181,0,0,0,0,6.334678048323883,0,0,5.807888657149103,0,0,0,6.819911442112439,0
1110057K04Rik,8.777019146763545,0.564679669378958,2.6845286379082856,0.36155561614034293,0,7.611571244949179,7.248380635137801,0.9383998338582584,2.5659311955982673,1.4335552884233755,9.371607813629499,4.032752328773723,8.700891686512431,5.649384956291159,5.194817103788007,8.631691726198579,7.240467032541839,6.975822731407758,0,2.964940442943828,8.60103380063699,8.857167503055697,6.661560132289295,4.004967378743428,1.5677989325492188,7.9432715860293515,8.089727655016473,6.7266955120154535,1.9590501725269498,9.107157235397056,7.876190770747809,3.5306807685785535,2.263107696544065,7.531023718882222,0.037611808348641806,2.3072158075594027,0.3136752444162939,0,3.82893566530804,0.48332231270369,10.162256649610494,1.4110603704936278,6.775251033630837,1.2997827821502863,6.614384693206207,8.84321686176973,9.433045391999027,5.282970646463141,2.700689111576427,2.9279039660345068,4.343980575143879,4.114861112282533,3.1099874308392352,9.577541991696936,9.492428363427583,3.081733826597871,5.487231997171246,3.9950452816030784,3.794219781767677,3.826341585206274,3.7226272645093084,7.499573654057531,3.494186079342539,4.9679714362487095,10.113642573685441,3.108692825786812,4.07725116045884,8.43157698664078,4.438079510990193,3.365886306599521,3.1740742879195127,3.4346882588412897
1600029O15Rik,1.1556319392063743,0.38824017496427604,0.2216925389573158,0.32715924947204456,0,0.5222945065351909,0,1.5479044459046511,0.5222945065351909,7.468403280336801,0.06339372488149772,1.3111001219887142,0.14557255391089924,0.2551139879473838,0.6263489211461886,0.4569287249959827,0.2655582612888127,0.48332231270369,0,0.04723885252308549,0.12240060324329438,0.12240060324329438,0.05939814054188966,0.6763696132661258,2.179085916540493,1.6472360909605799,0.015258504009279302,0.5726572680630655,0.12054600056795378,1.0626684402938396,2.2012576463987257,1.9257188514515613,0.40895020757735545,1.263091714056551,0.24347887115056363,0.6846729049432871,0.37414228830729646,0.21124684845462974,1.9089473545718592,0.4453546468680304,1.377506393976109,1.4738724652350517,5.658073561537474,1.4911013350346392,0.09205613022471573,3.083535450886154,3.0034726620148398,5.183526975722459,3.060419683358323,2.9677847785300413,4.274187918191491,4.035769885212344,3.2722578358127192,4.054718275530969,3.2969663027554215,3.0978192417742,5.307342454748508,3.921910245806315,3.761399680042258,3.96825012517412,3.672332646178755,3.8594967532302,3.5066882889622275,5.017163624294953,3.2945891895212975,3.130787284314123,4.022088523993196,4.068513842685386,4.035769885212344,3.327956339664595,3.1933470236296695,3.8328235328883213
4930556M19Rik,0.7297049252422924,3.0971096713041435,7.568683255620392,0.13898285974985597,4.114861112282533,3.130787284314123,0,1.0626684402938396,6.142918014351862,7.131830565588152,3.960385118889508,1.4738724652350517,6.41829636908671,0.07611998504641654,0.05939814054188966,0.21003835710755156,0.08991514856044826,0.4539457346953758,5.143968141105762,0.05939814054188966,0.028881132523331052,0.4539457346953758,0.18515280892382857,0.05540255620228159,5.932299930288448,1.0478602729139919,2.6390490580924206,0.015258504009279302,0.6382813144522193,0.5562038427018167,1.5220330440996432,1.2169081459183968,0.5222945065351909,1.4475463895299563,4.0824448793266,6.171096936556022,6.8070180924438475,0.01925408834888737,8.09975575636218,3.0555993368538648,5.7216793008479545,1.581415675613191,5.517514993677202,1.2487770743142037,2.779819028644487,5.847376009119201,6.551051230077795,5.356083191461026,4.838839327868518,2.8232619298545476,4.3891764210802515,3.1453528441116743,3.543289669670955,6.370849156465208,3.084600198573034,3.0183524752005413,3.7018678103521223,4.0135983126499815,7.23184239401978,8.51146877188235,3.7498027968480367,7.701386508110204,3.397236803042223,4.59693202888279,3.143904790706271,3.000123789662861,4.120901407930179,4.1851869144392495,8.096595223748054,5.972935259916848,3.037702477991142,3.16551114680917
Acadsb,2.3997308711603957,6.4389966111959875,0.06339372488149772,1.6314052375429071,3.543289669670955,0.40467403008055963,0,2.4266540920830084,1.690575949247864,3.201720591653369,2.2360652196320627,5.526412568288031,6.14551995026874,0.18412353153280464,0.40467403008055963,0.3215277896372089,7.768206688291125,1.1742622203295798,0.8772963656436267,6.612531881825474,7.4026912376012675,0.34766134239206886,7.887069039496173,0.05540255620228159,8.448875499192823,4.991711227564653,4.574508692069285,1.7456324004934538,6.709084293470655,0.39490155118573683,4.289085142247867,7.549123033545344,5.183526975722459,0.8374969797196768,4.118681386397326,5.304414785703322,0.24548694377294014,2.7614752961512847,8.363161671686209,0.39298669293263794,1.020925355439205,1.5600563425375593,6.698821470934909,1.5263655138565781,1.7646799886202071,6.906372681471802,3.230625108473451,4.8871753077446,2.878382953162533,3.1876103447985047,4.104499073970462,2.950449513529335,4.5715803123063825,4.953959504662792,8.437199543087907,5.1170752671574675,8.158941526405178,3.7967776657180194,3.7226272645093084,6.2638213258644235,3.5187047574273267,3.746123549396088,7.653763318494659,5.310808151445279,3.234301924965711,5.497161243129044,3.8114861523578725,4.356334303381301,3.7684740902185045,4.71527136412144,8.348570687974435,2.960739450283971
Acot7,9.171227377730201,0.3640878599847034,5.515820270321272,0.24548694377294014,8.508940894323661,10.65295482278253,8.545925195374393,0.3496150553016518,0.38824017496427604,1.0871421978728393,0.03198034851380619,1.1675561609193381,6.467145861143607,0.17114242221971643,9.122440157281655,0.3136752444162939,0.04723885252308549,9.208797201413402,6.055722437767212,7.002462797260583,0.5222945065351909,7.076550449768366,7.314612797500419,0.17328340388398392,1.8080231687326598,9.751504398167516,6.723502921952846,9.259828424559785,3.280308272063782,8.921499719679835,0.8767052598878101,0.5574123340488949,0.14083746242519657,0.7973332204008955,6.059556945349049,0.5161756672585321,0.3496150553016518,0.1424733379204241,2.121311493104724,4.463031872410907,6.283197149439188,1.5284624736491612,6.659505154443623,1.6212732915803276,8.921499719679835,9.859410999494362,5.797093400893763,4.9484633679691274,5.710869864382284,5.7451099728455945,4.048588838887105,10.260788912025543,2.386417813238602,3.1851025613439217,3.5696259503815075,3.35392574138463,3.5256792466529925,3.7450571553334644,9.252627305860956,10.190084391724351,7.622112079466047,3.822253014984465,3.4481637416851956,5.811294577163375,3.543289669670955,3.4080985949178264,3.8312750067974184,9.054382476200166,10.23965269914596,10.024413567766523,3.4481637416851956,3.7257659671719447
Acot9,7.9432715860293515,0.3640878599847034,4.311314275772933,0.24548694377294014,0,0.3592420994760955,0,0.34766134239206886,0.3908457112683705,1.0832251137197777,1.466265904053081,1.1645955660370029,0.05939814054188966,2.2286760321574737,4.731857286847304,0.24548694377294014,5.92806979320344,3.259554480476937,0,6.594503869018685,6.514975369234468,0.3908457112683705,0.12240060324329438,3.3626647103477563,1.8095191907974104,0.9533966774572904,0.06339372488149772,0.42185012503136554,7.712244034658645,0.8036227273894313,0.8702317914166351,8.49118235125231,3.5728058555435434,6.289724260969334,0.1907842687586642,0.5222945065351909,2.352312600581121,0.14557255391089924,4.927318388294832,8.892533605568213,2.302689890233965,7.671422958777191,6.716111320361544,1.6184984788437975,5.386696150210263,6.9132449487467555,3.222821404712408,4.941105404247708,3.0442551638476134,3.205534686764063,4.047528421039654,9.378678107735464,2.3741059229281203,3.09443497793085,8.857167503055697,3.3547409371677843,3.527161067095085,3.746123549396088,3.7450571553334644,3.2761937458099837,3.531877262386728,3.8213356554458806,7.544726095016045,5.816716555315122,3.544502657651941,3.4087518321384684,3.8299941192695526,4.328665469959637,3.9797432802063915,6.918844024915577,3.449381573140474,3.720704963378672
Acta2,1.1838743079820633,0.8321915248318571,0.5855289629483634,1.1044381306228344,0,1.2034341147563996,0,1.919108858388003,1.0591779621232713,1.1461732053663198,9.303903582795934,0.8950135631788312,0.14678104525797744,0.20041131293310788,8.05133688970348,1.481724601939241,0.05540255620228159,0.3203192982901307,0.14931328910233793,1.3673281624327247,9.915063500906424,1.5284624736491612,1.611532417525235,1.1698557956345148,3.5155332136867092,2.7245696976031613,0.48332231270369,6.859104684536111,1.2298884683454372,1.3657107586637056,3.547816167401982,3.2526944707840797,1.977040026420797,2.3767851843054837,1.1461732053663198,1.698470727651615,0.7112314151299582,9.054382476200166,3.39309097372536,1.6942189525122888,2.568486783483814,7.423537566688294,6.2259627109724125,1.598564643705078,0,2.197232973120853,3.288268957555454,4.908694401057012,2.781903974247993,4.155205826443739,8.98693266706681,2.9345141486441433,7.663386464876449,3.130787284314123,3.3792991670937074,3.367287753953731,6.881071665497935,10.21627960698256,3.6955711770325013,2.9970893049703786,3.611934468131988,3.7594124180032877,3.6263222358157194,10.320131697393705,10.65295482278253,5.595361775185058,3.82333260304238,4.470780951739915,3.8594967532302,3.297650889501352,3.4065723953440896,3.746123549396088
Adamts9,5.950874007268433,0.21769695461770772,0.14678104525797744,6.543337592282013,0.9090224439858489,4.158278409081016,7.566795258024712,0.7122606925209821,7.518491272370159,4.148590924656796,1.3673281624327247,4.0675141940097586,1.0024746546279166,0.14678104525797744,1.5964830159475711,0.07611998504641654,1.7160319643233013,5.382810431229825,0,2.3655573345603296,0.6204626121631835,0.40467403008055963,0.05939814054188966,0.24548694377294014,2.136907755030578,1.3503769395369734,0.05939814054188966,5.334625837915406,0.33079406316716287,3.9320768927213248,0.9179988981283226,0.6088341743224377,3.2363066420423494,7.583439400058685,7.128173590220867,3.547816167401982,0.40895020757735545,2.685747443166317,3.137407129715129,1.2997827821502863,1.0591779621232713,6.522769036326665,6.19971205487041,2.552677653126257,1.563926329382091,3.6730608327115006,5.022583367350365,5.1137755022582,4.893157246184177,3.1756462669992005,7.844358404436068,3.1115559783616153,8.60103380063699,3.2722578358127192,3.3688253041821823,3.4421593030399835,8.654850358301884,3.760555075739764,3.714437077858615,3.024060456043531,5.490336646163757,5.295605813457259,9.02512519501435,6.771376143267454,5.769465903902907,3.3792991670937074,6.853267413716506,4.437122677754673,6.126163863755229,3.3053470773443228,3.423028147893413,3.360369919363052
Afap1l1,3.0621328193790185,0.301978261642399,4.657211553780043,5.7800214122690114,6.406436035318767,4.7540486579044945,0.4466783993653127,0.7165507519668486,0.4342642621983391,1.1595847226218519,4.148590924656796,0.9179988981283226,2.6247221638071383,6.765451241920758,0.2655582612888127,6.098239937687099,7.757918072706007,8.372309602728171,2.5337678675521356,0.06863392253624033,4.777547241974867,4.488234237257559,0.01925408834888737,0.2216925389573158,2.0874210917754343,6.714814544672248,6.898189620437687,7.529114206866089,0.2935597088150335,3.108692825786812,8.60103380063699,0.9533966774572904,0.3203192982901307,0.6763696132661258,6.026909043816504,0.36155561614034293,6.973060215535884,0.06339372488149772,1.9575147646928563,7.2010689743228635,5.986661709238943,1.0825127068532838,6.129957565360081,6.483438259080229,7.074927072998422,2.711539501736276,7.141025506981349,5.153796660315949,2.7459901743414337,6.430442953581442,4.19515903310937,3.3889750731154766,8.191922083468263,3.2865236132713953,3.403223104608461,3.4346882588412897,6.569862887469092,6.537566736820797,4.158278409081016,3.076618934682008,3.6468843604094507,5.186905722034234,3.7884234657005975,5.860137859257339,3.6079270374328063,3.4215152150948445,4.008204466041827,3.2987095350618754,3.513411284548974,3.3126234113888056,8.18657731753352,4.801185902742532
